Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy
PXK,0.294647,0.935545,1.23981,1.23981,0.260379,0.757809,1.2763,1.2763
PXMP4,0.436408,0.94373,1.17614,1.17614,0.976345,0.996079,1.00619,1.00619
PXN,0.842923,0.984502,1.03111,1.03111,0.432931,0.868621,1.13673,1.13673
PXN-AS1,0.705397,0.968377,1.1635,1.1635,0.450713,0.873419,0.761194,-1.31373
PXYLP1,0.44177,0.94373,1.21312,1.21312,0.970851,0.994442,1.00901,1.00901
PYCARD,0.78164,0.979908,0.931694,-1.07331,0.933882,0.985982,1.02299,1.02299
PYCR2,0.507936,0.945789,1.12391,1.12391,0.932792,0.985982,0.983819,-1.01645
PYGB,0.611803,0.956827,1.10391,1.10391,0.562075,0.911745,1.13369,1.13369
PYGL,0.161407,0.935545,1.33771,1.33771,0.111794,0.58607,1.41248,1.41248
PYGO2,0.707825,0.968377,1.08985,1.08985,0.511479,0.893483,0.855396,-1.16905
PYHIN1,0.370876,0.93951,0.696934,-1.43486,0.0467966,0.452591,0.482498,-2.07255
PYM1,0.517545,0.946365,1.13568,1.13568,0.792226,0.96621,1.05584,1.05584
PYROXD1,0.711443,0.968864,0.887732,-1.12647,0.84427,0.96996,0.934418,-1.07018
PYROXD2,0.0749033,0.935545,0.630715,-1.5855,0.00920201,0.285262,0.457959,-2.1836
PYURF,0.189144,0.935545,0.613804,-1.62918,0.571765,0.913362,0.78497,-1.27393
PZP,0.199225,0.935545,0.563631,-1.77421,0.0146342,0.321343,0.345817,-2.8917
QARS1,0.808479,0.982105,0.949947,-1.05269,0.676956,0.935462,0.909745,-1.09921
QDPR,0.536472,0.9493,1.17996,1.17996,0.316201,0.800957,1.36561,1.36561
QKI,0.976437,0.99815,0.99414,-1.00589,0.356416,0.823838,1.24614,1.24614
