Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
GSE61474_XLOC_055615,0.58031,0.714688,1.13016,1.13016
GSE61474_XLOC_055649,0.700156,0.806056,1.05855,1.05855
GSE61474_XLOC_055705,0.982821,0.98951,0.998561,-1.00144
GSE61474_XLOC_057016,0.20287,0.360607,1.40385,1.40385
GSE61474_XLOC_057210,0.997282,0.998362,1.00074,1.00074
GSE61474_XLOC_057821,0.000318533,0.00792338,0.170329,-5.87098
GSE61474_XLOC_058093,0.732508,0.829454,1.05285,1.05285
GSE61474_XLOC_058315,0.123698,0.262241,1.67009,1.67009
GSE61474_XLOC_058329,0.00524218,0.0368415,1.24115,1.24115
GSE61474_XLOC_058624,0.00566531,0.0383623,1.77766,1.77766
GSE61474_XLOC_058647,0.339251,0.502323,1.41058,1.41058
GSE61474_XLOC_058648,0.162918,0.312813,1.27078,1.27078
GSE61474_XLOC_059419,0.00244869,0.0251558,2.3929,2.3929
GSE61474_XLOC_059753,0.00416822,0.0342238,0.400558,-2.49652
GSE61474_XLOC_059754,0.00542472,0.0375136,0.317835,-3.14629
GSE61474_XLOC_060526,0.0457703,0.137535,1.8758,1.8758
GSE61474_XLOC_060899,0.232935,0.394928,0.812936,-1.23011
GSE61474_XLOC_060946,0.606218,0.735203,0.882459,-1.1332
GSE61474_XLOC_061650,0.00353455,0.0311875,0.412035,-2.42698
GSE61474_XLOC_062185,0.490332,0.639491,1.06605,1.06605
GSE61474_XLOC_062830,0.00284212,0.0274854,0.208872,-4.78761
GSE61474_XLOC_062965,0.0178325,0.0765709,1.20462,1.20462
GSE61474_XLOC_063048,0.00509056,0.0368263,1.24245,1.24245
GSE61474_XLOC_063459,0.351456,0.514103,1.44335,1.44335
GSE61474_XLOC_063720,0.264687,0.429136,0.7008,-1.42694
GSE61474_XLOC_063834,0.0771428,0.192799,1.61389,1.61389
GSE61474_XLOC_064312,0.00913315,0.0507355,1.93793,1.93793
GSE61474_XLOC_064846,0.00107994,0.0156523,3.0517,3.0517
GSE61474_XLOC_065085,0.0592908,0.162921,1.61653,1.61653
GSE61474_XLOC_065362,0.745364,0.838441,1.11267,1.11267
GSE61474_XLOC_065980,0.250691,0.414022,1.35215,1.35215
GSE61474_XLOC_066216,0.270428,0.435096,1.29026,1.29026
GSE61474_XLOC_067048,0.257966,0.421856,0.659803,-1.5156
GSE61474_XLOC_067113,0.462947,0.615962,0.878426,-1.1384
GSEC,0.0379732,0.122668,1.50583,1.50583
GSG1,0.348352,0.511203,1.2802,1.2802
GSG1L,0.000397571,0.00904147,2.48523,2.48523
GSG1L2,0.0194876,0.0809322,0.558002,-1.79211
GSK3A,0.741546,0.83572,0.882218,-1.13351
GSK3B,0.0814585,0.19995,1.80256,1.80256
GSKIP,0.00949319,0.0518298,1.87161,1.87161
GSN,0.0273109,0.0996649,1.5674,1.5674
GSN-AS1,0.0962248,0.222375,1.19034,1.19034
GSPT1,0.0798403,0.197177,0.643338,-1.55439
GSPT2,0.000487861,0.0100347,0.368462,-2.71398
GSR,0.765755,0.852754,1.08258,1.08258
GSS,0.0982574,0.225352,1.50771,1.50771
GSTA1,0.182429,0.336825,0.774459,-1.29122
GSTA2,0.0990738,0.226506,1.16217,1.16217
GSTA3,0.411662,0.57089,0.855301,-1.16918
GSTA4,6.72E-05,0.00325805,0.262496,-3.80959
GSTA5,0.834225,0.898251,1.04359,1.04359
GSTCD,0.406885,0.56662,0.821556,-1.2172
GSTK1,0.54141,0.681882,0.8816,-1.1343
GSTM1,0.268347,0.433008,1.31228,1.31228
GSTM2,0.0215489,0.0860114,0.718851,-1.39111
GSTM3,0.835652,0.899233,1.09377,1.09377
GSTM4,0.388644,0.549269,0.82894,-1.20636
GSTM5,0.0216976,0.0863819,0.462417,-2.16255
GSTO1,0.00029641,0.00756342,0.397231,-2.51743
GSTO2,0.365119,0.5268,1.27853,1.27853
GSTP1,0.0396703,0.126049,0.386038,-2.59042
GSTT1,0.141463,0.285603,0.717512,-1.3937
GSTZ1,0.00695732,0.0431573,1.75371,1.75371
GSX1,0.14051,0.284481,1.98613,1.98613
GSX2,0.0182966,0.0777313,1.34837,1.34837
GTDC1,0.0483654,0.142605,1.61798,1.61798
GTF2A1,0.73248,0.829454,0.913262,-1.09498
GTF2A1L,0.834279,0.898288,0.964984,-1.03629
GTF2A2,0.435722,0.592758,0.730979,-1.36803
GTF2B,0.423447,0.581726,0.824807,-1.2124
GTF2E1,0.283533,0.44834,1.21839,1.21839
GTF2E2,0.252911,0.416645,0.718227,-1.39232
GTF2F1,0.107919,0.239355,1.57781,1.57781
GTF2F2,0.0743861,0.18826,1.55146,1.55146
GTF2H1,0.0585096,0.161383,1.38938,1.38938
GTF2H2,0.0115382,0.0583273,2.34169,2.34169
GTF2H3,0.602973,0.732934,0.814152,-1.22827
GTF2H4,0.318691,0.482943,0.754174,-1.32595
GTF2H5,0.0762661,0.191397,0.684012,-1.46196
GTF2I,0.0434144,0.133206,0.710243,-1.40797
GTF2IP20,0.000345027,0.0083282,3.34957,3.34957
GTF2IP4,0.0597728,0.163819,1.29969,1.29969
GTF2IRD1,3.95E-05,0.00244077,5.13903,5.13903
GTF2IRD2,2.70E-05,0.00199558,0.353339,-2.83014
GTF2IRD2B,0.000340542,0.00825449,0.599612,-1.66774
GTF3A,1.26E-05,0.00129349,0.545697,-1.83252
GTF3C1,0.950735,0.970547,1.01365,1.01365
GTF3C2,0.215088,0.3751,0.711561,-1.40536
GTF3C2-AS1,0.48295,0.633031,0.950042,-1.05259
GTF3C3,0.583209,0.717234,0.817797,-1.2228
GTF3C4,0.7078,0.812136,1.11999,1.11999
GTF3C5,0.207512,0.36613,0.734104,-1.3622
GTF3C6,0.462826,0.615837,0.795831,-1.25655
GTPBP1,0.00818391,0.047493,1.53603,1.53603
GTPBP10,0.436797,0.593644,1.22025,1.22025
GTPBP2,0.0131922,0.0636313,1.66103,1.66103
GTPBP3,0.289829,0.454718,0.79653,-1.25545
GTPBP4,0.051098,0.147712,0.579515,-1.72558
GTPBP6,0.53669,0.678245,0.788128,-1.26883
GTPBP8,0.909967,0.945572,1.03941,1.03941
GTSCR1,0.000634983,0.0115795,0.304131,-3.28805
GTSE1,0.860984,0.915865,1.0821,1.0821
GTSE1-DT,0.110167,0.242767,1.3618,1.3618
GTSF1,0.890305,0.934425,0.976755,-1.0238
GTSF1L,0.0757926,0.190572,1.64727,1.64727
GUCA1A,0.548585,0.687891,0.862514,-1.1594
GUCA1B,0.00281531,0.0273466,1.61305,1.61305
GUCA1C,0.327654,0.49159,1.22998,1.22998
GUCA2A,0.029877,0.105425,0.709892,-1.40866
GUCA2B,0.613756,0.740698,0.718842,-1.39113
GUCD1,0.322932,0.487001,0.866562,-1.15399
GUCY1A1,0.633997,0.75651,0.819469,-1.2203
GUCY1A2,0.552336,0.690944,0.809501,-1.23533
GUCY1B1,0.00503005,0.0368263,0.570223,-1.7537
GUCY2C,0.353598,0.516058,1.35697,1.35697
GUCY2D,0.00591998,0.0393647,0.552475,-1.81004
GUCY2F,0.00504971,0.0368263,1.24282,1.24282
GUF1,0.533407,0.675446,0.802365,-1.24632
GUK1,0.96514,0.979408,0.988393,-1.01174
GULP1,0.069452,0.180389,1.68615,1.68615
GUSB,0.0238313,0.0915428,0.483536,-2.0681
GUSBP11,0.40894,0.568346,0.871763,-1.1471
GVQW2,0.00116607,0.0163748,0.497556,-2.00982
GVQW3,0.0492292,0.14415,0.658637,-1.51829
GXYLT1,0.103312,0.232602,1.34491,1.34491
GXYLT2,0.00348069,0.0309234,4.55499,4.55499
GYG1,0.0131486,0.0634825,0.666691,-1.49995
GYG2,0.880149,0.928016,0.944862,-1.05836
GYPA,0.956639,0.974244,0.975987,-1.0246
GYPB,0.309066,0.473869,0.876386,-1.14105
GYPC,0.551127,0.690009,0.890921,-1.12243
GYPE,0.263027,0.427445,1.19832,1.19832
GYS1,0.26282,0.427301,0.812641,-1.23056
GYS2,0.830069,0.895548,1.1026,1.1026
GZF1,0.00532021,0.0371236,1.78732,1.78732
GZMA,0.00285116,0.0275313,0.222901,-4.48629
GZMB,0.432161,0.589543,1.51048,1.51048
GZMH,0.00592327,0.0393807,0.141977,-7.04337
GZMK,0.115314,0.25032,0.459789,-2.17491
GZMM,0.694073,0.801822,0.958682,-1.0431
H19,0.0790309,0.195793,1.2736,1.2736
H1F0,0.47659,0.627679,0.79362,-1.26005
H1FNT,0.138918,0.282332,0.740008,-1.35134
H1FOO,0.0590138,0.162364,1.69236,1.69236
H1FX,0.153618,0.301482,0.657895,-1.52
H1FX-AS1,0.00696239,0.0431624,0.718538,-1.39171
