Probeset ID,pval_critical_vs_noncritical,adj_pval_critical_vs_noncritical,ratio_critical_vs_noncritical,FC_critical_vs_noncritical
SETD1B,0.90038,0.924812,1.01518,1.01518
SETD2,0.000160258,0.000682107,1.16049,1.16049
SETD3,0.240112,0.318333,1.07754,1.07754
SETD4,0.401815,0.486456,0.961102,-1.04047
SETD5,0.100048,0.152962,1.15934,1.15934
SETD6,4.61E-05,0.000242152,0.709936,-1.40858
SETD7,0.370476,0.455498,1.06918,1.06918
SETD9,0.0501386,0.085885,1.28843,1.28843
SETDB1,0.134839,0.196569,1.10481,1.10481
SETDB2,0.0823049,0.129863,0.883142,-1.13232
SETMAR,0.00142556,0.00422581,0.778601,-1.28435
SETX,0.00335019,0.00869183,1.1971,1.1971
SF1,0.955803,0.966766,1.00435,1.00435
SF3A1,0.923586,0.941667,0.992524,-1.00753
SF3A2,0.0798167,0.126578,0.852828,-1.17257
SF3A3,6.21E-05,0.000310983,0.811702,-1.23198
SF3B1,0.116778,0.17427,1.10053,1.10053
SF3B2,0.344941,0.429525,1.06902,1.06902
SF3B3,5.95E-07,7.44E-06,0.726921,-1.37567
SF3B4,0.898218,0.923137,0.990283,-1.00981
SF3B5,0.811329,0.853924,0.986976,-1.0132
SF3B6,5.59E-07,7.10E-06,1.81986,1.81986
SFI1,9.30E-07,1.07E-05,0.675131,-1.48119
SFMBT1,4.46E-07,6.00E-06,0.673363,-1.48508
SFMBT2,1.37E-05,9.05E-05,0.699519,-1.42955
SFPQ,1.43E-05,9.37E-05,0.845063,-1.18334
SFR1,0.434277,0.517947,1.08752,1.08752
SFR1P1,0.00421205,0.0105294,0.719348,-1.39015
SFRP2,0.0170942,0.0348577,0.529889,-1.88719
SFSWAP,0.00856373,0.0193181,0.905266,-1.10465
SFT2D1,2.62E-09,1.48E-07,1.55259,1.55259
SFT2D2,0.860054,0.893712,1.0161,1.0161
SFT2D3,0.0257815,0.0491555,0.842139,-1.18745
SFXN1,0.0699749,0.113357,0.885647,-1.12912
SFXN2,3.75E-05,0.000204903,0.628478,-1.59114
SFXN3,0.0506128,0.0865257,0.875141,-1.14267
SFXN4,0.0485061,0.0836405,0.879755,-1.13668
SFXN5,0.000336946,0.00126423,1.3854,1.3854
SGCB,0.0108457,0.0236996,0.757196,-1.32066
SGCD,0.0114988,0.0248733,0.522538,-1.91374
SGF29,0.000433447,0.00155798,0.789625,-1.26642
SGIP1,0.947955,0.960789,0.985015,-1.01521
SGK1,0.0283687,0.0534222,0.796364,-1.25571
SGK3,0.0439131,0.0768546,1.15995,1.15995
SGMS1,0.00111014,0.00343016,1.17783,1.17783
SGMS1-AS1,0.320205,0.40413,0.929399,-1.07596
SGMS2,0.183339,0.25536,1.21703,1.21703
SGO1,0.716817,0.774771,1.04335,1.04335
SGO1-AS1,0.00275766,0.00737423,1.36396,1.36396
SGO2,0.614499,0.686951,1.08538,1.08538
SGPL1,0.172333,0.242284,0.913116,-1.09515
SGPP1,4.06E-05,0.000218658,0.752329,-1.32921
SGSH,0.0264083,0.0501907,1.3562,1.3562
SGSM1,8.87E-07,1.03E-05,0.484149,-2.06548
SGSM2,0.000117267,0.000528675,0.747549,-1.33771
SGSM3,0.0405006,0.071809,0.900857,-1.11005
SGTA,0.44528,0.528744,1.06018,1.06018
SGTB,4.34E-06,3.54E-05,1.48468,1.48468
SH2B1,0.0185108,0.0372445,0.816498,-1.22474
SH2B2,0.216763,0.292944,1.15236,1.15236
SH2B3,0.734471,0.790394,1.02725,1.02725
SH2D1A,6.63E-05,0.000327259,0.544375,-1.83697
SH2D1B,1.89E-06,1.84E-05,0.393429,-2.54176
SH2D2A,0.00428522,0.0106752,0.630651,-1.58566
SH2D3A,0.00398584,0.010049,0.711821,-1.40485
SH2D3C,0.0570409,0.0957946,1.1982,1.1982
SH3BGRL,0.0454784,0.0791604,1.2299,1.2299
SH3BGRL2,0.20442,0.279257,1.32475,1.32475
SH3BGRL3,0.080319,0.127218,1.282,1.282
SH3BP1,0.697479,0.758306,0.966344,-1.03483
SH3BP2,0.00939385,0.0209182,1.30761,1.30761
SH3BP4,0.00674656,0.0157299,0.681951,-1.46638
SH3BP5,0.233115,0.310777,1.09718,1.09718
SH3BP5-AS1,0.196896,0.270701,0.891888,-1.12122
SH3BP5L,0.000839874,0.00270438,1.31951,1.31951
SH3D21,0.802224,0.84651,1.0278,1.0278
SH3GL1,0.673746,0.738536,1.04123,1.04123
SH3GL1P1,0.774029,0.823284,1.04627,1.04627
SH3GLB1,3.89E-10,4.03E-08,2.14042,2.14042
SH3GLB2,0.00928174,0.0207071,0.826189,-1.21038
SH3KBP1,0.0458073,0.079646,1.11941,1.11941
SH3PXD2A,0.0627814,0.103714,0.810309,-1.2341
SH3PXD2B,0.000184096,0.000763134,2.45329,2.45329
SH3RF1,0.761331,0.812847,1.0435,1.0435
SH3RF2,8.25E-06,5.98E-05,0.400825,-2.49486
SH3RF3,0.047594,0.0823741,1.2868,1.2868
SH3RF3-AS1,0.0029032,0.00770656,1.65435,1.65435
SH3TC1,0.00128462,0.00386625,0.772198,-1.295
SH3TC2,0.233729,0.311451,1.3135,1.3135
SH3YL1,7.46E-06,5.51E-05,0.643776,-1.55334
SHARPIN,0.142658,0.206274,0.838897,-1.19204
SHB,0.879413,0.908617,0.980099,-1.0203
SHC1,0.560713,0.638291,1.0375,1.0375
SHCBP1,0.678225,0.742368,1.07279,1.07279
SHE,0.0798182,0.126578,1.45924,1.45924
SHF,0.000594126,0.00203526,0.667795,-1.49746
SHFL,0.0721223,0.116273,1.2243,1.2243
SHISA4,6.36E-06,4.87E-05,0.306994,-3.25739
SHISA5,6.05E-05,0.000304133,1.77951,1.77951
SHISAL2A,1.55E-07,2.68E-06,0.571974,-1.74833
SHKBP1,0.00345712,0.00891208,1.41221,1.41221
SHLD1,0.0217337,0.0425691,0.829857,-1.20503
SHLD2,0.206179,0.281365,0.870511,-1.14875
SHLD3,0.229329,0.306868,1.1602,1.1602
SHMT1,7.19E-07,8.68E-06,0.615786,-1.62394
SHMT2,2.03E-06,1.95E-05,0.681037,-1.46835
SHOC2,6.85E-08,1.47E-06,1.52759,1.52759
SHPK,2.24E-08,6.44E-07,0.718892,-1.39103
SHPRH,5.43E-05,0.000276415,0.755783,-1.32313
SHQ1,8.28E-05,0.000394076,0.767766,-1.30248
SHROOM1,0.426228,0.510082,0.882424,-1.13324
SHROOM4,2.73E-08,7.46E-07,2.6864,2.6864
SHTN1,0.441233,0.524893,0.880431,-1.13581
SIAE,2.17E-05,0.000131024,1.84004,1.84004
SIAH1,0.771349,0.820982,1.01573,1.01573
SIAH2,0.110876,0.167005,1.38498,1.38498
SIDT1,3.87E-05,0.000210514,0.600655,-1.66485
SIDT2,0.308884,0.392252,0.86665,-1.15387
SIGIRR,7.29E-05,0.000355178,0.758601,-1.31822
SIGLEC1,0.0325973,0.0600709,2.50858,2.50858
SIGLEC10,0.927866,0.944825,0.983117,-1.01717
SIGLEC11,0.855433,0.890239,1.03916,1.03916
SIGLEC14,0.000829506,0.00267579,3.42351,3.42351
SIGLEC15,0.528921,0.608704,1.07535,1.07535
SIGLEC16,0.111458,0.167672,1.3182,1.3182
SIGLEC22P,0.340758,0.425252,0.894836,-1.11752
SIGLEC5,1.68E-09,1.10E-07,2.99795,2.99795
SIGLEC5,5.20E-08,1.20E-06,2.41787,2.41787
SIGLEC6,0.000336414,0.00126256,0.506354,-1.9749
SIGLEC7,0.197518,0.271374,1.12823,1.12823
SIGLEC8,0.0037222,0.00948969,0.342051,-2.92354
SIGLEC9,3.92E-05,0.000212342,1.70201,1.70201
SIGMAR1,1.89E-07,3.13E-06,0.761441,-1.3133
SIK1,0.803821,0.847822,0.920881,-1.08592
SIK1B,0.289658,0.371779,0.785448,-1.27316
SIK2,0.0127884,0.027257,0.819308,-1.22054
SIK3,0.687319,0.749869,1.03137,1.03137
SIKE1,0.260717,0.340809,1.074,1.074
SIL1,0.288543,0.370644,1.06583,1.06583
SIMC1,0.00503328,0.0122687,0.843498,-1.18554
SIN3A,0.0380002,0.0679541,0.848815,-1.17811
SIN3B,0.53788,0.616792,0.932808,-1.07203
SINHCAF,0.834205,0.873333,1.01121,1.01121
SIPA1,0.0674021,0.109995,1.17568,1.17568
SIPA1L1,0.0322429,0.0595084,1.2217,1.2217
SIPA1L2,2.63E-08,7.22E-07,2.7028,2.7028
SIPA1L3,0.0217286,0.0425691,0.799671,-1.25051
SIRPA,4.14E-07,5.69E-06,2.03254,2.03254
SIRPB1,0.0032525,0.00848449,1.45693,1.45693
SIRPB2,0.011489,0.0248634,1.3955,1.3955
SIRPD,0.000108435,0.000495123,1.64314,1.64314
SIRPG,3.73E-07,5.25E-06,0.502682,-1.98933
